# Source: https://www.elections.org.za/pw/StatsData/Voter-Registration-Statistics (IEC live dashboard)
"# Scraped live, all provinces, unfiltered. As-of date on IEC site: 23 September 2026"
province,municipality_code,municipality_name,age_group,gender,registered_voters,is_youth
Eastern Cape,EC126,Ngqushwa,50-59,female,3556,False
Eastern Cape,EC126,Ngqushwa,60-69,male,2454,False
Eastern Cape,EC126,Ngqushwa,60-69,female,3441,False
Eastern Cape,EC126,Ngqushwa,70-79,male,1324,False
Eastern Cape,EC126,Ngqushwa,70-79,female,2083,False
Eastern Cape,EC126,Ngqushwa,80+,male,489,False
Eastern Cape,EC126,Ngqushwa,80+,female,1382,False
Eastern Cape,EC129,Raymond Mhlaba,18-19,male,1388,True
Eastern Cape,EC129,Raymond Mhlaba,18-19,female,1932,True
Eastern Cape,EC129,Raymond Mhlaba,20-29,male,8397,True
Eastern Cape,EC129,Raymond Mhlaba,20-29,female,9543,True
Eastern Cape,EC129,Raymond Mhlaba,30-39,male,8118,False
Eastern Cape,EC129,Raymond Mhlaba,30-39,female,8862,False
Eastern Cape,EC129,Raymond Mhlaba,40-49,male,7590,False
Eastern Cape,EC129,Raymond Mhlaba,40-49,female,7888,False
Eastern Cape,EC129,Raymond Mhlaba,50-59,male,6495,False
Eastern Cape,EC129,Raymond Mhlaba,50-59,female,7898,False
Eastern Cape,EC129,Raymond Mhlaba,60-69,male,5167,False
Eastern Cape,EC129,Raymond Mhlaba,60-69,female,7284,False
Eastern Cape,EC129,Raymond Mhlaba,70-79,male,2374,False
Eastern Cape,EC129,Raymond Mhlaba,70-79,female,3954,False
Eastern Cape,EC129,Raymond Mhlaba,80+,male,913,False
Eastern Cape,EC129,Raymond Mhlaba,80+,female,2198,False
Eastern Cape,EC131,Inxuba Yethemba,18-19,male,509,True
Eastern Cape,EC131,Inxuba Yethemba,18-19,female,564,True
Eastern Cape,EC131,Inxuba Yethemba,20-29,male,2817,True
Eastern Cape,EC131,Inxuba Yethemba,20-29,female,3089,True
Eastern Cape,EC131,Inxuba Yethemba,30-39,male,3216,False
Eastern Cape,EC131,Inxuba Yethemba,30-39,female,3740,False
Eastern Cape,EC131,Inxuba Yethemba,40-49,male,3202,False
Eastern Cape,EC131,Inxuba Yethemba,40-49,female,3539,False
Eastern Cape,EC131,Inxuba Yethemba,50-59,male,2602,False
Eastern Cape,EC131,Inxuba Yethemba,50-59,female,3199,False
