election_year,voting_district,municipality_code,municipality_source,province,registered_voters,municipality_code_2021,municipality_name_2021,province_2021,boundary_method
2000,54260209,MP307,MP307 - Highveld East [Highveld Ridge],Mpumalanga,1034,MP307,MP307 - Govan Mbeki,Mpumalanga,vd_code_match
2000,54260210,MP307,MP307 - Highveld East [Highveld Ridge],Mpumalanga,4339,MP307,MP307 - Govan Mbeki,Mpumalanga,vd_code_match
2000,54260221,MP307,MP307 - Highveld East [Highveld Ridge],Mpumalanga,3118,MP307,MP307 - Govan Mbeki,Mpumalanga,vd_code_match
2000,54260232,MP307,MP307 - Highveld East [Highveld Ridge],Mpumalanga,2953,MP307,MP307 - Govan Mbeki,Mpumalanga,vd_code_match
2000,54260243,MP307,MP307 - Highveld East [Highveld Ridge],Mpumalanga,751,MP307,MP307 - Govan Mbeki,Mpumalanga,vd_code_match
2000,54260254,MP307,MP307 - Highveld East [Highveld Ridge],Mpumalanga,1666,MP307,MP307 - Govan Mbeki,Mpumalanga,vd_code_match
2000,54260265,MP307,MP307 - Highveld East [Highveld Ridge],Mpumalanga,3747,MP307,MP307 - Govan Mbeki,Mpumalanga,vd_code_match
2000,54260276,MP307,MP307 - Highveld East [Highveld Ridge],Mpumalanga,2343,MP307,MP307 - Govan Mbeki,Mpumalanga,municipality_majority
2000,54260287,MP307,MP307 - Highveld East [Highveld Ridge],Mpumalanga,528,MP307,MP307 - Govan Mbeki,Mpumalanga,vd_code_match
2000,54270019,MP312,MP312 - Emalahleni [Witbank],Mpumalanga,3672,MP312,MP312 - Emalahleni,Mpumalanga,vd_code_match
2000,54270020,MP312,MP312 - Emalahleni [Witbank],Mpumalanga,1799,MP312,MP312 - Emalahleni,Mpumalanga,vd_code_match
2000,54270031,MP312,MP312 - Emalahleni [Witbank],Mpumalanga,2605,MP312,MP312 - Emalahleni,Mpumalanga,vd_code_match
2000,54280010,MP307,MP307 - Highveld East [Highveld Ridge],Mpumalanga,2045,MP307,MP307 - Govan Mbeki,Mpumalanga,vd_code_match
2000,54280021,MP307,MP307 - Highveld East [Highveld Ridge],Mpumalanga,2067,MP307,MP307 - Govan Mbeki,Mpumalanga,vd_code_match
2000,54280032,MP307,MP307 - Highveld East [Highveld Ridge],Mpumalanga,2820,MP307,MP307 - Govan Mbeki,Mpumalanga,vd_code_match
2000,54280043,MP307,MP307 - Highveld East [Highveld Ridge],Mpumalanga,3958,MP307,MP307 - Govan Mbeki,Mpumalanga,vd_code_match
2000,54280065,MP307,MP307 - Highveld East [Highveld Ridge],Mpumalanga,1724,MP307,MP307 - Govan Mbeki,Mpumalanga,vd_code_match
2000,54290011,MP302,MP302 - Msukaligwa [Ermelo],Mpumalanga,3220,MP302,MP302 - Msukaligwa,Mpumalanga,vd_code_match
2000,54300013,MP305,MP305 - Lekwa [Standerton],Mpumalanga,3100,MP305,MP305 - Lekwa,Mpumalanga,vd_code_match
2000,54310014,MP304,MP304 - Seme [Volksrust],Mpumalanga,1795,MP304,MP304 - Dr Pixley Ka Isaka Seme,Mpumalanga,vd_code_match
2000,54320015,MP303,MP303 - Mkhondo [Piet Retief],Mpumalanga,3558,MP303,MP303 - Mkhondo,Mpumalanga,vd_code_match
2000,54320026,MP303,MP303 - Mkhondo [Piet Retief],Mpumalanga,2627,MP303,MP303 - Mkhondo,Mpumalanga,vd_code_match
2000,54320037,MP303,MP303 - Mkhondo [Piet Retief],Mpumalanga,2723,MP303,MP303 - Mkhondo,Mpumalanga,vd_code_match
2000,54320048,MP303,MP303 - Mkhondo [Piet Retief],Mpumalanga,2641,MP303,MP303 - Mkhondo,Mpumalanga,vd_code_match
2000,54320059,MP303,MP303 - Mkhondo [Piet Retief],Mpumalanga,2427,MP303,MP303 - Mkhondo,Mpumalanga,vd_code_match
2000,54320060,MP303,MP303 - Mkhondo [Piet Retief],Mpumalanga,3872,MP303,MP303 - Mkhondo,Mpumalanga,vd_code_match
2000,54330016,MP305,MP305 - Lekwa [Standerton],Mpumalanga,2622,MP305,MP305 - Lekwa,Mpumalanga,vd_code_match
2000,54330027,MP305,MP305 - Lekwa [Standerton],Mpumalanga,3300,MP305,MP305 - Lekwa,Mpumalanga,vd_code_match
2000,54330038,MP305,MP305 - Lekwa [Standerton],Mpumalanga,2032,MP305,MP305 - Lekwa,Mpumalanga,vd_code_match
2000,54330049,MP305,MP305 - Lekwa [Standerton],Mpumalanga,1358,MP305,MP305 - Lekwa,Mpumalanga,vd_code_match
2000,54330050,MP305,MP305 - Lekwa [Standerton],Mpumalanga,2694,MP305,MP305 - Lekwa,Mpumalanga,vd_code_match
2000,54330061,MP305,MP305 - Lekwa [Standerton],Mpumalanga,3546,MP305,MP305 - Lekwa,Mpumalanga,vd_code_match
2000,54330072,MP305,MP305 - Lekwa [Standerton],Mpumalanga,2991,MP305,MP305 - Lekwa,Mpumalanga,vd_code_match
2000,54330094,MP305,MP305 - Lekwa [Standerton],Mpumalanga,3090,MP305,MP305 - Lekwa,Mpumalanga,vd_code_match
2000,54330106,MP305,MP305 - Lekwa [Standerton],Mpumalanga,2433,MP305,MP305 - Lekwa,Mpumalanga,vd_code_match
2000,54330117,MP305,MP305 - Lekwa [Standerton],Mpumalanga,3111,MP305,MP305 - Lekwa,Mpumalanga,vd_code_match
2000,54330128,MP305,MP305 - Lekwa [Standerton],Mpumalanga,3185,MP305,MP305 - Lekwa,Mpumalanga,vd_code_match
2000,54340017,MP304,MP304 - Seme [Volksrust],Mpumalanga,1492,MP304,MP304 - Dr Pixley Ka Isaka Seme,Mpumalanga,vd_code_match
2000,54340028,MP304,MP304 - Seme [Volksrust],Mpumalanga,3171,MP304,MP304 - Dr Pixley Ka Isaka Seme,Mpumalanga,vd_code_match
2000,54340039,MP304,MP304 - Seme [Volksrust],Mpumalanga,1906,MP304,MP304 - Dr Pixley Ka Isaka Seme,Mpumalanga,vd_code_match
2000,54340040,MP304,MP304 - Seme [Volksrust],Mpumalanga,2272,MP304,MP304 - Dr Pixley Ka Isaka Seme,Mpumalanga,vd_code_match
2000,54340051,MP304,MP304 - Seme [Volksrust],Mpumalanga,1645,MP304,MP304 - Dr Pixley Ka Isaka Seme,Mpumalanga,vd_code_match
2000,54350018,MP304,MP304 - Seme [Volksrust],Mpumalanga,653,MP304,MP304 - Dr Pixley Ka Isaka Seme,Mpumalanga,vd_code_match
2000,54350029,MP304,MP304 - Seme [Volksrust],Mpumalanga,1076,MP304,MP304 - Dr Pixley Ka Isaka Seme,Mpumalanga,vd_code_match
2000,54350030,MP304,MP304 - Seme [Volksrust],Mpumalanga,962,MP304,MP304 - Dr Pixley Ka Isaka Seme,Mpumalanga,vd_code_match
2000,54360019,MP304,MP304 - Seme [Volksrust],Mpumalanga,1515,MP304,MP304 - Dr Pixley Ka Isaka Seme,Mpumalanga,vd_code_match
