province_2021,municipality_code_2021,municipality_name_2021,election_year,ballot_type,registered_voters,votes_cast,valid_votes,spoilt_votes,voting_districts,share_vd_code_match,turnout_pct,spoilt_pct
Mpumalanga,MP311,MP311 - Victor Khanye,2021,WARD,34548,17863,17544,319,28,1.0,51.704874377677434,1.7858142529250405
Mpumalanga,MP312,MP312 - Emalahleni,2000,DC40,129380,52255,51133,1122,58,0.9655172413793104,40.38877724532385,2.147162950913788
Mpumalanga,MP312,MP312 - Emalahleni,2000,PR,129380,52250,51342,908,58,0.9655172413793104,40.38491266038027,1.737799043062201
Mpumalanga,MP312,MP312 - Emalahleni,2000,WARD,129380,52054,50951,1103,58,0.9655172413793104,40.233420930592054,2.1189533945518115
Mpumalanga,MP312,MP312 - Emalahleni,2006,DC40,149252,65305,63576,1729,82,0.9878048780487805,43.75485755634765,2.6475767552254803
Mpumalanga,MP312,MP312 - Emalahleni,2006,PR,149252,62629,61106,1523,82,0.9878048780487805,41.961916758234395,2.431780804419678
Mpumalanga,MP312,MP312 - Emalahleni,2006,WARD,149252,62641,61361,1280,82,0.9878048780487805,41.969956851499475,2.0433901119075366
Mpumalanga,MP312,MP312 - Emalahleni,2011,DC40,167689,89722,88676,1046,102,0.9901960784313726,53.50500032798812,1.1658233209246338
Mpumalanga,MP312,MP312 - Emalahleni,2011,PR,167689,89819,88773,1046,102,0.9901960784313726,53.56284550566823,1.1645642904062614
Mpumalanga,MP312,MP312 - Emalahleni,2011,WARD,167689,89585,88480,1105,102,0.9901960784313726,53.42330146879044,1.2334654238990903
Mpumalanga,MP312,MP312 - Emalahleni,2016,DC40,189524,97862,96184,1678,113,1.0,51.63567674806357,1.714659418364636
Mpumalanga,MP312,MP312 - Emalahleni,2016,PR,189524,97707,95968,1739,113,1.0,51.553892910660394,1.7798110677842938
Mpumalanga,MP312,MP312 - Emalahleni,2016,WARD,189524,97594,96038,1556,113,1.0,51.49426985500517,1.5943603090353915
Mpumalanga,MP312,MP312 - Emalahleni,2021,DC40,186763,73546,72082,1464,120,1.0,39.37932031505169,1.9905909226878415
Mpumalanga,MP312,MP312 - Emalahleni,2021,PR,186763,73535,72137,1398,120,1.0,39.37343049747541,1.9011355137009587
Mpumalanga,MP312,MP312 - Emalahleni,2021,WARD,186763,73439,72132,1307,120,1.0,39.322028453173274,1.7797083293617832
Mpumalanga,MP313,MP313 - Steve Tshwete,2000,DC40,77723,35805,34934,871,38,0.9736842105263158,46.067444643155824,2.4326211422985615
Mpumalanga,MP313,MP313 - Steve Tshwete,2000,PR,77723,35850,35111,739,38,0.9736842105263158,46.125342562690584,2.0613668061366806
Mpumalanga,MP313,MP313 - Steve Tshwete,2000,WARD,77723,35849,35143,706,38,0.9736842105263158,46.124055942256476,1.9693715305866273
Mpumalanga,MP313,MP313 - Steve Tshwete,2006,DC40,85755,37592,35767,1825,45,0.9777777777777777,43.836510990612794,4.854756331134284
Mpumalanga,MP313,MP313 - Steve Tshwete,2006,PR,85755,37855,36738,1117,45,0.9777777777777777,44.1431986473092,2.950733060361907
Mpumalanga,MP313,MP313 - Steve Tshwete,2006,WARD,85755,37772,36860,912,45,0.9777777777777777,44.046411287971544,2.414486921529175
Mpumalanga,MP313,MP313 - Steve Tshwete,2011,DC40,98060,53964,53303,661,57,1.0,55.031613297980826,1.2248906678526426
Mpumalanga,MP313,MP313 - Steve Tshwete,2011,PR,98060,53971,53308,663,57,1.0,55.03875178462166,1.2284374942098535
Mpumalanga,MP313,MP313 - Steve Tshwete,2011,WARD,98060,53979,53252,727,57,1.0,55.046910055068324,1.346820059652828
Mpumalanga,MP313,MP313 - Steve Tshwete,2016,DC40,110703,58529,57767,762,67,1.0,52.87029258466347,1.3019187069657776
Mpumalanga,MP313,MP313 - Steve Tshwete,2016,PR,110703,58470,57729,741,67,1.0,52.81699682935422,1.267316572601334
Mpumalanga,MP313,MP313 - Steve Tshwete,2016,WARD,110703,58575,57834,741,67,1.0,52.91184520744695,1.265044814340589
Mpumalanga,MP313,MP313 - Steve Tshwete,2021,DC40,108499,47537,46079,1458,70,1.0,43.81330703508788,3.067084586742958
Mpumalanga,MP313,MP313 - Steve Tshwete,2021,PR,108499,47343,46414,929,70,1.0,43.63450354381146,1.9622753099719072
Mpumalanga,MP313,MP313 - Steve Tshwete,2021,WARD,108499,47755,46833,922,70,1.0,44.01423054590365,1.9306878860852266
Mpumalanga,MP314,MP314 - Emakhazeni,2000,DC40,21552,10281,9727,554,24,0.9166666666666666,47.703229398663694,5.388580877346562
Mpumalanga,MP314,MP314 - Emakhazeni,2000,PR,21552,10307,9775,532,24,0.9166666666666666,47.82386785449146,5.161540700494809
Mpumalanga,MP314,MP314 - Emakhazeni,2000,WARD,21552,10304,9975,329,24,0.9166666666666666,47.80994803266518,3.192934782608696
Mpumalanga,MP314,MP314 - Emakhazeni,2006,DC40,22683,11012,10782,230,30,0.9666666666666667,48.54737027730018,2.088630584816564
Mpumalanga,MP314,MP314 - Emakhazeni,2006,PR,22683,11027,10785,242,30,0.9666666666666667,48.61349909623947,2.1946132220912307
Mpumalanga,MP314,MP314 - Emakhazeni,2006,WARD,22683,11023,10785,238,30,0.9666666666666667,48.59586474452233,2.1591218361607547
Mpumalanga,MP314,MP314 - Emakhazeni,2011,DC40,24500,14692,14476,216,39,0.9743589743589743,59.96734693877551,1.4701878573373264
