voting_district,registered,valid,spoilt,npe_vd_turnout_pct,year
54580068,1717,1301,12,76.471,2004
54580079,2492,1812,58,75.04,2004
54580080,1498,1074,29,73.632,2004
54580091,1859,1252,45,69.769,2004
54580103,735,516,7,71.156,2004
54580114,393,297,4,76.59,2004
54580125,1339,996,10,75.131,2004
54580136,1243,938,13,76.508,2004
54580158,1237,990,8,80.679,2004
54580169,1108,927,6,84.206,2004
54580181,326,250,1,76.994,2004
54580192,2001,1383,24,70.315,2004
54580204,774,600,6,78.295,2004
54580215,784,548,3,70.281,2004
54580226,17,43,0,252.941,2004
54580237,796,741,5,93.719,2004
54590014,2169,1697,24,79.345,2004
54590025,1775,1363,36,78.817,2004
54590036,1513,1166,12,77.859,2004
54590047,1180,901,11,77.288,2004
54590058,2588,1654,11,64.335,2004
54590069,1344,1016,13,76.562,2004
54590070,1549,1133,15,74.112,2004
54590081,1564,1218,31,79.859,2004
54590092,4057,2788,53,70.027,2004
54590104,1336,1172,31,90.045,2004
54590115,2398,1678,21,70.851,2004
54590126,1167,1044,33,92.288,2004
54590137,1328,997,23,76.807,2004
54590148,1734,1127,32,66.84,2004
54590159,1557,1470,41,97.046,2004
54590160,1402,1095,19,79.458,2004
54590171,2002,1458,59,75.774,2004
54590182,1503,1126,38,77.445,2004
54590193,2216,1805,3,81.588,2004
54590205,1770,1213,25,69.944,2004
54590216,1768,1265,26,73.02,2004
54590227,1390,762,10,55.54,2004
54590238,1559,1251,42,82.938,2004
54590250,718,478,12,68.245,2004
54590261,1513,1080,1,71.447,2004
54590272,1226,921,17,76.509,2004
54590283,870,671,12,78.506,2004
54590294,348,317,3,91.954,2004
54590306,1589,987,18,63.247,2004
54590317,772,682,14,90.155,2004
54590328,1305,971,32,76.858,2004
54590339,636,676,16,108.805,2004
54590340,1203,1319,22,111.471,2004
54590351,752,610,10,82.447,2004
54590362,778,808,14,105.656,2004
54590373,165,149,4,92.727,2004
54600016,1126,562,13,51.066,2004
54600027,2340,1858,14,80.0,2004
54600038,3100,2361,34,77.258,2004
54600049,1936,1558,17,81.353,2004
54600050,1030,1197,30,119.126,2004
54600061,5259,3150,1,59.916,2004
54600072,3913,2731,85,71.965,2004
54600083,2833,1881,9,66.714,2004
54600094,2356,1859,39,80.56,2004
54600106,2853,2305,54,82.685,2004
54600117,2754,2075,25,76.253,2004
54600128,2630,2202,15,84.297,2004
54600139,3060,2697,10,88.464,2004
54600140,2813,2231,31,80.412,2004
54600151,2900,2022,17,70.31,2004
54600162,1433,1223,11,86.113,2004
54600173,2728,1822,9,67.119,2004
54600184,1736,1416,24,82.949,2004
54600195,2535,1925,16,76.568,2004
54600207,3210,2604,63,83.084,2004
54600218,2907,2243,48,78.81,2004
54600229,1358,1262,20,94.404,2004
54610028,2202,1899,50,88.51,2004
54610039,3577,2367,84,68.521,2004
54610040,2846,1914,55,69.185,2004
54610051,2314,2197,29,96.197,2004
54610062,2567,1904,30,75.341,2004
54610073,2606,1834,42,71.988,2004
54610084,3187,2107,34,67.179,2004
54610095,806,715,12,90.199,2004
54610107,3463,2044,33,59.977,2004
54610118,4216,3181,69,77.087,2004
54610129,1829,1366,18,75.67,2004
54610141,1986,1763,10,89.275,2004
54610152,1326,1049,24,80.92,2004
54610163,2128,1550,32,74.342,2004
54610174,2639,2065,24,79.159,2004
54610185,1515,1153,15,77.096,2004
54610196,1566,1513,38,99.042,2004
54610208,860,1117,18,131.977,2004
54610219,1877,1493,23,80.767,2004
54610220,202,140,4,71.287,2004
54610231,1882,1688,46,92.136,2004
54610242,1505,1243,19,83.854,2004
54610253,1938,1440,39,76.316,2004
54610264,1268,1004,14,80.284,2004
54610275,1255,706,29,58.566,2004
54610286,755,728,16,98.543,2004
54620423,586,560,9,97.099,2004
54630019,2534,2088,48,84.294,2004
54630020,2855,2263,54,81.156,2004
54630031,2679,2113,32,80.067,2004
54630042,1504,1187,11,79.654,2004
54630053,2484,1940,5,78.301,2004
54630064,1156,1051,31,93.599,2004
54630075,340,324,7,97.353,2004
54640010,2481,1898,34,77.872,2004
54640021,682,468,2,68.915,2004
54650011,3355,2673,26,80.447,2004
54650022,1897,1921,14,102.003,2004
54650033,2616,1915,5,73.394,2004
54650044,5836,3206,36,55.552,2004
54650055,2743,2058,42,76.559,2004
54650066,1973,1484,5,75.469,2004
54650077,1849,1572,3,85.181,2004
54650088,1801,1295,26,73.348,2004
54650099,2395,1852,11,77.787,2004
54650101,2965,2324,13,78.82,2004
54650112,1698,1498,4,88.457,2004
54650123,3763,3104,20,83.019,2004
54650145,2903,2206,54,77.85,2004
54650156,3070,2073,22,68.241,2004
54650167,2593,1512,25,59.275,2004
54650178,2846,2333,23,82.783,2004
54650189,2164,1634,15,76.201,2004
54650190,3098,2035,26,66.527,2004
54650202,2813,2344,30,84.394,2004
54650213,2488,2490,51,102.13,2004
54650224,3085,2196,26,72.026,2004
54650235,4198,2876,15,68.866,2004
54650246,2225,1830,31,83.64,2004
54650257,3897,3045,53,79.497,2004
54650268,3016,2070,36,69.828,2004
54650279,1588,1420,21,90.743,2004
54650280,1546,1046,15,68.629,2004
54650291,3501,2272,21,65.496,2004
54650303,3220,1674,33,53.012,2004
54650314,2561,1691,16,66.654,2004
54650336,3401,2304,21,68.362,2004
54650347,2835,1950,41,70.229,2004
54650358,1449,1517,15,105.728,2004
54650369,1867,1408,15,76.219,2004
54650370,1097,1015,11,93.528,2004
54650381,6527,3618,82,56.688,2004
54650392,1078,1363,5,126.902,2004
54650404,577,1232,11,215.425,2004
54650415,1457,1298,25,90.803,2004
54650426,1632,1562,43,98.346,2004
54650437,1062,1123,9,106.591,2004
54650448,2264,1937,7,85.866,2004
54660012,648,502,18,80.247,2004
54660023,414,330,3,80.435,2004
54660034,124,113,2,92.742,2004
54660045,304,179,3,59.868,2004
54660056,612,467,3,76.797,2004
54660067,1489,1437,30,98.522,2004
54660078,235,141,0,60.0,2004
54660089,333,277,1,83.483,2004
54660090,369,289,0,78.32,2004
54660102,810,683,6,85.062,2004
54660113,250,193,0,77.2,2004
54660124,47,58,1,125.532,2004
54680014,255,544,3,214.51,2004
54680025,3536,2380,30,68.156,2004
54680036,906,594,18,67.55,2004
54680058,2638,1514,18,58.074,2004
54680069,1446,998,8,69.571,2004
54680070,3231,2280,44,71.928,2004
54680081,2832,2165,36,77.719,2004
54680092,547,459,0,83.912,2004
54680104,280,223,4,81.071,2004
54680115,767,684,5,89.831,2004
54680126,1159,921,19,81.104,2004
54680148,317,255,6,82.334,2004
54680159,1700,1257,39,76.235,2004
54680160,269,222,4,84.015,2004
54680171,640,510,2,80.0,2004
54680238,963,1003,13,105.504,2004
54690015,119,127,3,109.244,2004
54690026,243,123,0,50.617,2004
54690037,441,355,3,81.179,2004
54690048,328,340,8,106.098,2004
54700017,600,528,7,89.167,2004
54700028,565,410,10,74.336,2004
54700039,613,350,5,57.912,2004
54700040,1193,564,3,47.527,2004
54700051,2594,1298,28,51.118,2004
54700062,311,78,4,26.367,2004
54700073,939,646,8,69.649,2004
54700084,1896,1324,14,70.57,2004
54700095,1931,1677,26,88.193,2004
54720019,3341,2503,32,75.875,2004
54720020,3499,2704,13,77.651,2004
54720031,1879,1219,19,65.886,2004
54720042,2078,1477,20,72.04,2004
54720053,1856,1409,8,76.347,2004
54720064,1613,1563,16,97.892,2004
54720075,2057,1965,13,96.159,2004
54720086,848,986,10,117.453,2004
54730010,1763,1163,34,67.896,2004
54740011,1435,1130,0,78.746,2004
54740022,1432,1139,16,80.656,2004
54740033,2927,1900,31,65.972,2004
54740044,2186,1693,22,78.454,2004
54740055,1645,1382,22,85.35,2004
54740066,1977,1627,15,83.055,2004
54740077,3769,3084,57,83.338,2004
54740088,2659,1580,19,60.135,2004
54740099,1177,1090,12,93.628,2004
54740101,961,896,33,96.67,2004
54740112,166,223,2,135.542,2004
54750012,4204,3369,102,82.564,2004
54750023,1163,886,11,77.128,2004
54750034,1264,991,16,79.668,2004
54760013,2382,1966,43,84.341,2004
