voting_district,municipality_code_2021,registered_voters,registered_2026_est,turnout_median,turnout_p10,turnout_p90,p_below_25_raw,p_below_25,non_voters_expected
54910515,MP326,1034.0,1178.912,37.1445,26.9361,47.7144,0.0654,0.0033,740.0922
54910526,MP326,1556.0,1774.0687,36.856,27.35,46.5403,0.0581,0.0014,1118.2368
54910537,MP326,459.0,523.3275,40.2222,25.6312,56.9744,0.0923,0.0274,309.6968
54910548,MP326,1473.0,1679.4365,36.7241,27.1052,46.4711,0.0617,0.0033,1062.1841
54910571,MP326,1177.0,1341.953,40.9272,30.8432,51.7411,0.027,0.0014,790.7015
54910582,MP326,382.0,435.5362,24.8472,10.3894,41.9684,0.5055,0.8667,323.5873
54910593,MP326,847.0,965.7045,29.9823,19.8558,40.5583,0.262,0.3145,674.4567
54910616,MP326,1730.0,1972.4543,33.9531,24.553,43.909,0.1124,0.057,1299.57
54910627,MP326,437.0,498.2442,53.3173,38.84,70.4819,0.0129,0.0,228.6872
54910649,MP326,698.0,795.8226,41.6921,31.555,52.3844,0.0236,0.0014,462.9169
54910650,MP326,879.0,1002.1892,39.9053,29.5315,50.5158,0.0369,0.0014,601.8318
