voting_district,municipality_code_2021,municipality_name_2021,registered_voters,turnout_forecast
54390034,MP301,MP301 - Chief Albert Luthuli,446.0,54.056
54390045,MP301,MP301 - Chief Albert Luthuli,325.0,53.412
54390056,MP301,MP301 - Chief Albert Luthuli,232.0,52.877
54390067,MP301,MP301 - Chief Albert Luthuli,263.0,61.597
54400014,MP311,MP311 - Victor Khanye,761.0,55.26
54400036,MP311,MP311 - Victor Khanye,1240.0,57.045
54400047,MP311,MP311 - Victor Khanye,404.0,54.131
54400058,MP311,MP311 - Victor Khanye,239.0,44.125
54400069,MP311,MP311 - Victor Khanye,196.0,44.356
54400070,MP311,MP311 - Victor Khanye,628.0,45.797
54400081,MP311,MP311 - Victor Khanye,267.0,49.001
54400092,MP311,MP311 - Victor Khanye,455.0,46.316
54400104,MP311,MP311 - Victor Khanye,2365.0,46.97
54400126,MP311,MP311 - Victor Khanye,864.0,51.374
54400137,MP311,MP311 - Victor Khanye,769.0,50.846
54400148,MP311,MP311 - Victor Khanye,418.0,52.066
54410015,MP301,MP301 - Chief Albert Luthuli,247.0,48.373
54410026,MP302,MP302 - Msukaligwa,2179.0,41.761
54410037,MP302,MP302 - Msukaligwa,147.0,47.407
54410048,MP302,MP302 - Msukaligwa,132.0,29.47
54410059,MP305,MP305 - Lekwa,320.0,47.172
54410060,MP304,MP304 - Dr Pixley Ka Isaka Seme,99.0,36.61
54410071,MP302,MP302 - Msukaligwa,236.0,40.995
54410082,MP302,MP302 - Msukaligwa,447.0,27.528
54410093,MP302,MP302 - Msukaligwa,1929.0,39.807
54410105,MP302,MP302 - Msukaligwa,339.0,56.76
54410116,MP302,MP302 - Msukaligwa,694.0,43.994
54410127,MP302,MP302 - Msukaligwa,1963.0,40.747
54410138,MP302,MP302 - Msukaligwa,333.0,50.225
54410149,MP301,MP301 - Chief Albert Luthuli,264.0,46.004
54410150,MP302,MP302 - Msukaligwa,559.0,45.903
54410161,MP302,MP302 - Msukaligwa,658.0,44.534
54410172,MP303,MP303 - Mkhondo,1085.0,52.636
54410183,MP303,MP303 - Mkhondo,263.0,53.108
54410194,MP302,MP302 - Msukaligwa,1706.0,49.07
54410206,MP301,MP301 - Chief Albert Luthuli,501.0,49.226
54410217,MP302,MP302 - Msukaligwa,660.0,33.495
54410228,MP301,MP301 - Chief Albert Luthuli,142.0,53.375
54410239,MP302,MP302 - Msukaligwa,177.0,39.419
54410240,MP302,MP302 - Msukaligwa,97.0,42.418
54410251,MP302,MP302 - Msukaligwa,157.0,50.827
54410262,MP302,MP302 - Msukaligwa,388.0,57.693
54410273,MP302,MP302 - Msukaligwa,102.0,44.568
54410284,MP302,MP302 - Msukaligwa,428.0,39.257
54410295,MP303,MP303 - Mkhondo,289.0,58.141
54410307,MP303,MP303 - Mkhondo,291.0,61.947
54410318,MP302,MP302 - Msukaligwa,1591.0,44.671
54410330,MP302,MP302 - Msukaligwa,297.0,49.308
54410341,MP302,MP302 - Msukaligwa,92.0,39.512
54410352,MP302,MP302 - Msukaligwa,122.0,45.217
54410363,MP302,MP302 - Msukaligwa,588.0,47.327
54410374,MP302,MP302 - Msukaligwa,200.0,61.844
54410385,MP302,MP302 - Msukaligwa,195.0,57.89
54410396,MP302,MP302 - Msukaligwa,123.0,45.467
54410408,MP302,MP302 - Msukaligwa,152.0,55.765
54410419,MP302,MP302 - Msukaligwa,275.0,45.102
54410420,MP302,MP302 - Msukaligwa,132.0,51.131
54410431,MP302,MP302 - Msukaligwa,72.0,51.998
54410442,MP302,MP302 - Msukaligwa,145.0,50.827
54410453,MP302,MP302 - Msukaligwa,73.0,49.71
54410464,MP302,MP302 - Msukaligwa,236.0,40.364
54410475,MP302,MP302 - Msukaligwa,115.0,42.005
54410486,MP302,MP302 - Msukaligwa,178.0,53.643
54410497,MP302,MP302 - Msukaligwa,572.0,48.534
54410509,MP302,MP302 - Msukaligwa,173.0,57.572
54410510,MP302,MP302 - Msukaligwa,121.0,54.79
54420016,MP311,MP311 - Victor Khanye,360.0,46.548
54420038,MP307,MP307 - Govan Mbeki,325.0,44.867
