province_turnout,ballots,districts_below_25
41.186,893608.34,60
40.381,876145.329,64
40.334,875132.006,77
44.46,964646.83,41
36.923,801116.056,108
45.027,976959.741,29
47.737,1035740.33,18
37.633,816528.321,124
44.579,967222.153,37
46.395,1006635.902,26
39.918,866105.664,77
47.327,1026852.259,15
44.394,963206.675,34
33.356,723720.23,227
39.622,859671.687,93
35.9,778919.582,160
38.864,843242.012,97
46.644,1012045.174,23
43.375,941096.863,47
37.78,819705.492,102
35.257,764969.342,178
29.758,645669.953,509
46.763,1014623.012,35
24.849,539151.081,887
43.916,952837.619,39
28.557,619592.877,546
35.124,762089.379,188
39.269,852024.1,96
42.896,930716.265,38
36.496,791854.295,160
25.359,550217.477,806
42.586,923988.212,40
39.763,862747.573,64
39.119,848758.77,84
33.897,735462.938,234
47.414,1028749.374,21
39.581,858783.366,83
46.668,1012563.614,31
40.616,881236.61,71
48.839,1059649.255,14
34.685,752557.601,165
41.028,890189.654,60
37.235,807884.645,112
50.036,1085639.442,9
39.974,867322.655,77
41.969,910593.6,47
46.019,998477.731,20
42.586,923991.884,47
42.335,918541.294,44
39.005,846293.451,102
42.345,918763.345,63
45.11,978745.654,26
34.008,737868.356,231
44.03,955308.419,39
35.289,765663.819,172
35.42,768499.949,179
38.951,845114.607,90
43.608,946164.035,33
43.214,937604.678,30
30.549,662822.039,420
29.246,634539.676,504
38.884,843673.264,69
40.674,882495.024,68
29.943,649669.75,494
42.951,931916.304,60
38.685,839348.623,106
46.343,1005510.589,26
39.607,859359.947,90
31.51,683679.278,367
41.021,890043.282,64
45.046,977352.462,36
40.652,882033.624,72
36.944,801579.016,125
37.829,820765.041,110
39.655,860393.922,79
46.645,1012061.111,25
37.832,820834.9,111
41.437,899064.745,59
41.338,896905.767,60
42.873,930225.411,39
45.292,982697.057,32
40.657,882134.8,79
40.454,877725.762,73
35.639,773249.687,177
49.685,1078019.996,9
34.512,748810.222,206
37.686,817668.298,114
41.518,900814.095,78
33.991,737498.698,230
42.745,927433.171,40
38.237,829617.698,105
41.894,908973.214,62
48.288,1047713.339,24
45.333,983590.782,28
36.56,793251.208,141
40.143,870979.223,69
46.495,1008800.945,16
33.244,721295.189,284
32.769,710985.324,300
38.791,841638.913,79
35.958,780175.954,147
47.572,1032169.914,22
46.648,1012124.235,30
43.764,949540.141,47
42.13,914092.317,37
40.48,878302.001,65
33.759,732479.135,228
42.463,921317.79,50
39.351,853801.785,76
41.266,895340.957,68
34.233,742748.318,206
53.254,1155447.497,6
43.31,939694.505,39
41.345,897070.981,55
34.744,753835.29,209
39.387,854570.898,68
34.306,744327.844,214
43.77,949673.98,38
43.261,938624.911,46
41.411,898486.172,57
41.567,901873.449,56
37.011,803022.309,147
40.699,883056.358,85
39.602,859243.934,89
35.897,778867.809,167
43.58,945553.57,41
43.794,950198.881,38
44.099,956822.54,45
40.559,880016.765,59
27.75,602089.363,642
30.735,666864.758,413
43.999,954646.047,43
40.25,873296.041,85
43.713,948444.023,38
45.433,985759.182,23
39.956,866932.319,80
42.443,920882.379,47
36.77,797807.445,146
48.282,1047565.227,17
40.956,888627.254,51
34.788,754796.635,189
32.906,713955.81,282
45.678,991075.597,27
42.314,918087.648,53
34.987,759122.423,186
41.397,898182.652,60
39.001,846207.856,108
44.793,971881.502,38
39.788,863289.809,86
37.404,811544.108,104
36.615,794437.206,161
34.285,743873.027,254
41.447,899277.829,59
40.138,870864.364,81
38.48,834900.55,115
48.606,1054593.717,13
40.846,886225.43,65
36.817,798821.677,138
43.174,936735.874,38
38.354,832170.938,96
39.762,862712.547,73
41.61,902816.331,66
41.725,905312.873,54
30.03,651567.525,456
34.878,756744.931,204
47.374,1027864.15,26
40.145,871026.05,79
34.625,751252.223,204
41.093,891600.597,62
38.049,825544.558,124
39.143,849290.614,71
44.899,974175.203,37
43.623,946492.908,35
44.89,973985.429,28
41.064,890956.519,51
48.549,1053367.846,21
40.38,876134.783,70
36.514,792253.113,137
52.138,1131234.384,10
43.018,933362.336,55
43.406,941779.639,49
40.254,873391.023,76
47.942,1040207.044,18
37.875,821769.358,122
37.371,810846.57,122
36.952,801745.152,132
43.583,945624.114,43
50.611,1098099.513,12
33.806,733493.131,258
41.76,906072.298,52
44.214,959308.341,35
38.886,843708.675,105
41.52,900858.37,55
46.626,1011641.218,18
38.672,839066.072,100
40.492,878544.281,79
40.563,880094.267,68
29.683,644024.33,483
27.981,607096.77,588
40.798,885198.127,64
42.806,928758.191,54
40.37,875909.68,80
37.117,805337.874,131
36.088,782999.562,141
38.627,838089.264,96
30.371,658963.487,417
42.557,923350.445,49
40.285,874056.221,68
35.851,777860.147,167
43.115,935466.469,56
31.109,674969.433,380
43.045,933947.276,46
33.247,721354.165,283
41.092,891582.261,59
33.119,718574.756,254
37.99,824258.413,125
31.622,686109.285,333
39.564,858413.792,88
46.772,1014815.095,29
39.148,849400.228,86
37.347,810324.695,117
32.805,711761.577,268
35.022,759877.552,215
46.226,1002960.467,33
45.685,991220.854,19
36.61,794320.943,135
35.064,760781.628,157
43.976,954152.936,39
37.871,821690.384,113
35.901,778936.303,151
44.846,973029.889,28
41.8,906944.249,68
39.002,846229.603,87
32.492,704987.114,307
28.498,618319.415,565
42.465,921367.428,51
41.803,907008.423,40
38.711,839905.788,89
34.263,743405.838,221
30.588,663661.6,414
40.384,876202.004,69
40.947,888420.202,58
38.978,845707.786,101
49.287,1069378.519,19
39.758,862638.868,87
43.106,935260.571,56
30.653,665087.715,418
44.457,964582.859,26
42.908,930985.034,52
45.787,993443.035,31
40.417,876923.469,65
47.809,1037318.388,19
45.716,991894.379,39
35.076,761044.189,173
48.404,1050232.16,22
32.601,707337.18,292
44.298,961138.282,38
42.898,930767.906,49
46.214,1002703.749,22
36.783,798090.003,124
44.526,966083.923,36
47.192,1023929.441,16
36.989,802556.992,138
44.385,963027.156,37
34.729,753523.56,181
43.352,940609.047,42
30.66,665235.884,406
40.361,875704.339,89
43.803,950403.998,36
35.392,767902.17,155
30.638,664746.196,425
46.408,1006924.723,23
44.885,973880.024,44
36.18,784998.812,143
33.161,719484.297,307
32.559,706423.006,293
44.413,963636.585,25
42.037,912084.107,56
40.693,882916.883,64
40.04,868744.69,84
42.928,931415.969,54
45.522,987698.156,44
44.323,961673.196,31
36.9,800620.85,123
38.803,841900.102,100
35.519,770647.644,181
40.505,878845.956,60
38.63,838154.54,106
37.598,815760.64,123
37.943,823252.108,117
43.289,939238.646,43
46.546,1009912.846,26
42.956,932006.421,54
43.099,935122.369,42
34.382,745988.862,211
40.148,871100.923,63
23.675,513668.4,969
46.967,1019037.693,17
41.533,901147.388,70
46.819,1015841.262,21
34.517,748920.825,214
31.932,692837.239,338
39.189,850289.44,75
33.746,732188.536,247
45.911,996135.007,24
34.612,750968.241,188
32.934,714571.05,298
40.23,872879.322,67
40.479,878277.258,62
44.242,959923.229,37
44.784,971681.144,30
32.865,713063.63,268
46.739,1014101.64,17
46.217,1002776.151,20
44.543,966450.764,42
36.928,801230.43,127
30.17,654608.569,459
39.587,858908.657,83
31.518,683848.791,342
43.309,939673.139,37
33.461,726003.42,263
44.534,966256.215,35
43.048,934007.875,50
43.324,939993.134,45
38.881,843604.448,97
41.895,909000.623,52
50.55,1096778.134,12
45.49,987004.088,26
41.296,896005.2,64
42.572,923684.276,41
38.331,831658.821,105
44.341,962064.213,40
39.205,850634.325,95
36.061,782413.15,156
35.605,772526.581,174
35.847,777766.477,175
35.973,780505.356,142
37.75,819064.57,109
33.461,726008.227,240
49.989,1084600.663,18
43.892,952333.983,30
36.667,795565.007,143
42.983,932597.732,34
47.802,1037160.629,26
32.895,713714.066,287
38.112,826906.615,107
43.354,940651.919,37
26.168,567771.494,753
39.64,860059.144,73
44.632,968377.756,37
44.56,966821.247,34
38.088,826398.345,111
34.833,755779.125,189
33.108,718343.148,275
37.231,807795.568,142
38.035,825241.048,120
42.639,925136.864,65
30.04,651778.115,461
41.736,905553.96,49
35.662,773755.807,151
32.928,714447.807,266
50.475,1095166.091,17
39.445,855837.985,86
45.061,977682.487,37
42.831,929313.633,57
30.952,671568.784,398
45.911,996139.521,23
28.396,616106.698,575
43.209,937495.467,32
46.285,1004247.36,20
37.829,820769.895,111
51.801,1123933.522,12
41.257,895142.866,56
49.708,1078506.04,17
39.623,859705.823,92
33.95,736610.493,226
42.384,919600.031,48
41.217,894275.672,53
48.129,1044255.655,18
39.832,864242.997,74
41.159,893036.536,68
42.532,922810.771,56
43.996,954589.198,27
39.178,850035.87,76
47.846,1038123.465,17
41.535,901192.791,47
39.626,859774.473,76
36.638,794931.106,149
52.869,1147101.965,7
46.511,1009146.616,15
42.362,919138.735,46
38.97,845540.447,99
41.783,906570.793,58
37.997,824412.394,93
35.278,765432.716,174
34.148,740903.698,214
38.597,837447.985,89
43.036,933751.941,51
50.693,1099881.958,15
40.808,885416.116,71
42.516,922472.696,39
30.78,667835.19,387
34.246,743027.019,215
36.859,799736.378,121
39.733,862076.211,82
30.286,657106.889,440
51.513,1117679.11,7
41.457,899489.577,64
44.452,964466.62,39
40.93,888048.934,63
39.04,847044.167,83
35.687,774305.664,169
37.843,821076.14,102
36.328,788213.621,151
43.94,953375.922,41
44.949,975263.096,25
45.195,980601.431,36
36.282,787203.209,131
32.333,701525.956,304
41.755,905961.967,47
44.698,969820.487,37
45.972,997446.352,22
42.734,927191.031,47
29.965,650157.096,488
36.746,797275.47,121
36.245,786414.317,153
29.89,648518.443,505
34.218,742430.121,243
38.821,842297.37,91
43.205,937408.539,50
37.585,815473.455,110
41.119,892168.238,52
30.675,665562.86,392
46.577,1010580.701,26
37.366,810723.461,126
45.147,979553.883,31
42.704,926559.469,49
35.938,779753.652,175
42.955,932003.812,49
36.277,787091.714,168
38.769,841179.876,90
40.397,876487.399,72
35.818,777134.665,163
39.84,864410.052,84
40.089,869804.26,97
37.997,824414.201,111
46.573,1010499.258,24
41.099,891715.371,63
42.038,912096.102,62
38.102,826692.909,118
42.605,924399.546,41
42.138,914265.638,55
39.199,850493.851,84
38.974,845610.126,76
39.192,850347.05,112
42.353,918937.172,50
36.524,792463.808,148
45.691,991359.415,41
43.301,939494.601,49
28.557,619610.781,569
53.865,1168707.27,3
50.21,1089414.526,11
35.012,759647.328,176
41.269,895406.763,50
37.228,807735.924,130
40.471,878100.347,65
34.876,756709.726,222
40.622,881383.916,72
37.08,804530.646,128
38.568,836804.714,89
39.608,859376.885,86
42.58,923862.535,50
43.175,936757.134,49
30.022,651385.242,458
39.764,862760.787,90
35.711,774829.379,163
44.211,959255.955,35
39.421,855323.302,80
44.832,972724.953,40
29.154,632563.047,524
34.114,740162.903,220
37.994,824360.545,121
39.408,855030.622,87
38.399,833144.353,100
35.229,764354.081,178
41.141,892636.706,68
45.253,981852.191,42
35.354,767082.038,202
39.426,855418.427,75
39.762,862712.428,71
37.578,815324.421,120
37.122,805446.844,127
44.518,965904.151,35
33.784,733019.665,245
49.616,1076515.431,18
37.026,803347.661,130
46.994,1019618.836,28
33.646,730014.809,241
37.502,813682.644,104
46.407,1006899.791,33
39.561,858350.468,66
34.318,744607.323,228
50.658,1099121.257,15
42.187,915329.834,56
33.928,736136.632,224
32.604,707406.463,288
40.587,880625.231,75
39.245,851507.907,89
39.503,857092.075,79
34.265,743455.376,238
40.125,870595.593,72
50.925,1104917.91,16
40.143,870982.831,83
47.699,1034930.005,33
43.801,950354.296,40
39.218,850907.844,98
47.905,1039393.949,19
40.243,873151.649,89
42.601,924312.294,59
50.059,1086127.664,13
39.84,864411.061,72
37.398,811433.562,130
44.763,971218.007,31
46.224,1002922.98,30
39.862,864877.075,73
40.396,876470.8,77
45.567,988671.612,32
33.441,725564.739,307
43.96,953799.635,33
42.03,911930.29,60
40.188,871954.796,74
26.338,571457.007,720
34.18,741600.815,212
34.647,751744.47,212
48.827,1059388.611,22
41.329,896707.196,76
35.957,780165.762,138
47.37,1027791.049,17
36.097,783190.64,165
42.92,931229.724,51
37.077,804457.745,141
37.426,812031.032,125
46.664,1012470.61,22
40.662,882251.55,64
29.104,631471.209,519
36.988,802524.142,135
43.064,934354.001,57
39.237,851330.288,94
43.032,933654.787,46
42.959,932073.936,41
39.535,857798.541,92
33.935,736280.368,233
30.509,661960.938,385
33.323,723017.687,283
44.709,970055.756,22
40.612,881154.105,70
34.893,757078.315,186
43.105,935244.812,37
36.959,801898.176,127
38.082,826271.738,112
37.723,818469.45,104
41.392,898092.302,68
49.008,1063317.697,23
